url,title,start_year,end_year,parent,status,broadcasting_duration
/wiki/Cross_(TV_series),Cross,2018.0,2018.0,,completed,0.0
/wiki/Cruel_Love,Cruel Love,2007.0,2008.0,,completed,1.0
/wiki/Cunning_Single_Lady,Cunning Single Lady,2014.0,2014.0,,completed,0.0
/wiki/Curtain_Call_(South_Korean_TV_series),Curtain Call,2022.0,2022.0,,completed,0.0
/wiki/D-Day_(TV_series),D-Day,2015.0,2015.0,,completed,0.0
/wiki/D.P._(TV_series),D.P.,2021.0,,,ongoing,2.0
/wiki/Dae_Jang_Geum_Is_Watching,Dae Jang Geum Is Watching,2018.0,2019.0,,completed,1.0
/wiki/Dae_Jo-yeong_(TV_series),Dae Jo-yeong,2006.0,2007.0,,completed,1.0
/wiki/Daemyeong,Daemyeong,1981.0,1981.0,,completed,0.0
/wiki/Daily_Dose_of_Sunshine,Daily Dose of Sunshine,2023.0,2023.0,,completed,0.0
/wiki/Dal-ja%27s_Spring,Dal-ja's Spring,2007.0,2007.0,,completed,0.0
/wiki/Dali_%26_Cocky_Prince,Dali & Cocky Prince,2021.0,2021.0,,completed,0.0
/wiki/Damo_(TV_series),Damo,2003.0,2003.0,,completed,0.0
/wiki/Dangerous_Woman_(South_Korean_TV_series),Dangerous Woman,2011.0,2012.0,,completed,1.0
/wiki/Daring_Women,Daring Women,2010.0,2010.0,,completed,0.0
/wiki/Dark_Hole,Dark Hole,2021.0,2021.0,,completed,0.0
/wiki/Dating_Agency:_Cyrano,Dating Agency: Cyrano,2013.0,2013.0,,completed,0.0
/wiki/Daughters-in-Law,Daughters-in-Law,2007.0,2008.0,,completed,1.0
/wiki/Dear_Archimedes,Dear Archimedes,2019.0,2019.0,,completed,0.0
/wiki/Dear_Heaven,Dear Heaven,2005.0,2006.0,,completed,1.0
/wiki/Dear_My_Friends,Dear My Friends,2016.0,2016.0,,completed,0.0
/wiki/Dear_X_Who_Doesn%27t_Love_Me,Dear X Who Doesn't Love Me,2022.0,2022.0,,completed,0.0
/wiki/Dear._M,Dear. M,2022.0,2022.0,,completed,0.0
/wiki/Deep_Rooted_Tree,Deep Rooted Tree,2011.0,2011.0,,completed,0.0
/wiki/Definitely_Neighbors,Definitely Neighbors,2010.0,2010.0,,completed,0.0
/wiki/Delayed_Justice,Delayed Justice,2020.0,2021.0,,completed,1.0
/wiki/Delicious_Proposal,Delicious Proposal,2001.0,2001.0,,completed,0.0
/wiki/Delightfully_Deceitful,Delightfully Deceitful,2023.0,2023.0,,completed,0.0
/wiki/Delivery_(web_series),Delivery,2021.0,2021.0,,completed,0.0
/wiki/Delivery_Man_(TV_series),Delivery Man,2023.0,2023.0,,completed,0.0
/wiki/Descendants_of_the_Sun,Descendants of the Sun,2016.0,2016.0,,completed,0.0
/wiki/Designated_Survivor:_60_Days,Designated Survivor: 60 Days,2019.0,2019.0,,completed,0.0
/wiki/Destined_With_You,Destined With You,2023.0,2023.0,,completed,0.0
/wiki/Detectives_in_Trouble,Detectives in Trouble,2011.0,2011.0,,completed,0.0
/wiki/Devilish_Charm,Devilish Charm,2018.0,2018.0,,completed,0.0
/wiki/Diary_of_a_Night_Watchman,Diary of a Night Watchman,2014.0,2014.0,,completed,0.0
/wiki/Diary_of_a_Prosecutor,Diary of a Prosecutor,2019.0,2020.0,,completed,1.0
/wiki/Did_We_Really_Love%3F,Did We Really Love?,1999.0,1999.0,,completed,0.0
/wiki/Different_Dreams,Different Dreams,2019.0,2019.0,,completed,0.0
/wiki/Dinner_Mate,Dinner Mate,2020.0,2020.0,,completed,0.0
/wiki/Discovery_of_Love,Discovery of Love,2014.0,2014.0,,completed,0.0
/wiki/Distorted_(TV_series),Distorted,2017.0,2017.0,,completed,0.0
/wiki/Diva_of_the_Deserted_Island,Diva of the Deserted Island,2023.0,2023.0,,completed,0.0
/wiki/Divorce_Attorney_Shin,Divorce Attorney Shin,2023.0,2023.0,,completed,0.0
/wiki/Divorce_Lawyer_in_Love,Divorce Lawyer in Love,2015.0,2015.0,,completed,0.0
/wiki/Do_Do_Sol_Sol_La_La_Sol,Do Do Sol Sol La La Sol,2020.0,2020.0,,completed,0.0
/wiki/Do_You_Like_Brahms%3F,Do You Like Brahms?,2020.0,2020.0,,completed,0.0
/wiki/Doctor_Detective,Doctor Detective,2019.0,2019.0,,completed,0.0
/wiki/Doctor_Doctor_(South_Korean_TV_series),Doctor Doctor,2000.0,2000.0,,completed,0.0
/wiki/Doctor_John_(TV_series),Doctor John,2019.0,2019.0,,completed,0.0
/wiki/Doctor_Lawyer,Doctor Lawyer,2022.0,2022.0,,completed,0.0
/wiki/Doctor_Prisoner,Doctor Prisoner,2019.0,2019.0,,completed,0.0
/wiki/Doctor_Slump_(TV_series),Doctor Slump,2023.0,2023.0,,completed,0.0
/wiki/Doctor_Stranger,Doctor Stranger,2014.0,2014.0,,completed,0.0
